node,betweenness_centrality,closeness_centrality,degree_centrality
a-tryp forte tablet,1.602404439539721e-05,0.800508166969147,0.0916030534351145
tiredness,0.018952043272083902,0.40822309617447267,0.2574784364103505
orthostatic hypotension (sudden lowering of blood pressure on standing),0.0004920842946281161,0.32635911507460125,0.06514956872820701
confusion,0.033233379323117124,0.42235703188577345,0.2960176179115434
difficulty in urination,0.0010676327350235798,0.35754994676520324,0.07762892273811708
constipation,0.052758305160481474,0.4502721034781923,0.368875022939989
increased heart rate,0.00023653325451271077,0.35039587552936846,0.05065149568728207
weight gain,0.00049583155577594,0.32643375836239924,0.06533308864011746
dryness in mouth,0.024648685414430636,0.41145945945945944,0.26188291429620114
memory impairment,0.06885427798161568,0.46230464005182603,0.40649660488162964
blurred vision,0.0015560787193725455,0.3595767462366946,0.08331804000734079
depression,0.03757086932053844,0.4199955859633635,0.2895944209946779
uncoordinated body movements,0.026277969490003928,0.41547194527326975,0.2787667461919618
aaram 0.5mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
drowsiness,0.2607875880746362,0.5201822323462415,0.5276197467425215
lightheadedness,0.03764431664191978,0.3815411347991713,0.1688383189576069
aaram tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
abdocool tablet,4.2879673447075457e-05,0.8801181259478011,0.08396946564885496
dizziness,0.23268295378845358,0.5611913889708051,0.5942374747660121
weakness,0.0033503763280552,0.3609407599418347,0.09084235639566893
nausea,0.13072988906628213,0.5231375423806469,0.5270691870067902
impaired coordination,0.013949016942360089,0.3899323816679189,0.19893558451091942
sleepiness,0.04859995221805991,0.45091225021720244,0.37144430170673515
nervousness,0.0008936367983030286,0.3223420473152278,0.0308313452009543
abidol 100mg injection,5.8860647739280435e-06,0.8331696259916888,0.03816793893129771
vomiting,0.08464626977892509,0.47898313616914173,0.43861258946595705
abizolam 0.5mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
aborax tablet,3.208398501504382e-05,0.8742567192579085,0.07633587786259542
acekyor forte tablet,2.123200353441007e-05,0.8350624763347217,0.06870229007633588
heartburn,2.1352901734736734e-05,0.3063261254493749,0.013213433657551843
indigestion,0.00012647203736876323,0.34418520528124436,0.021104789869700862
loss of appetite,3.113565509501207e-05,0.3074810147035062,0.01211231418608919
stomach pain,0.00040896413648358035,0.35082652246051743,0.050467975775371626
acema 50mg injection,5.8860647739280435e-06,0.8331696259916888,0.03816793893129771
acema p 37.5mg/325mg tablet,3.134616001256474e-05,0.8407929851315288,0.11450381679389313
flatulence,0.0002561603041432769,0.3530393915033084,0.059093411635162414
sleep disorder,0.00021459709712073885,0.31609545429378216,0.0581758120756102
diarrhea,0.01613609192486125,0.39853403141361254,0.2244448522664709
anxiety,0.0029364367598925735,0.31913466375985244,0.07138924573316205
trembling,0.00021459709712073885,0.31609545429378216,0.0581758120756102
headache,0.016199258284352636,0.3885523718777649,0.18296935217471094
abdominal pain,0.001633216475097168,0.35435416795977903,0.06533308864011746
dyspepsia,0.00021459709712073885,0.31609545429378216,0.0581758120756102
itching,0.00021459709712073885,0.31609545429378216,0.0581758120756102
acent pt 100mg/325mg/37.5mg tablet,2.123200353441007e-05,0.8350624763347217,0.06870229007633588
acetramol tablet,3.134616001256474e-05,0.8407929851315288,0.11450381679389313
acezon t 37.5mg/325mg tablet,3.134616001256474e-05,0.8407929851315288,0.11450381679389313
achidol 100mg injection,5.8860647739280435e-06,0.8331696259916888,0.03816793893129771
achidol 37.5mg/325mg tablet,3.134616001256474e-05,0.8407929851315288,0.11450381679389313
acicod 10mg tablet,0.00013286811265432976,0.9267165308009077,0.061068702290076333
sedation,0.008233629912775672,0.36820380522412127,0.11580106441548907
sweating,0.0003278604269578081,0.3487264064504306,0.04239309965131217
breathlessness,0.0001607073503589862,0.34660919191305933,0.03541934299871536
acidale tp 100mg/325mg/37.5mg tablet,2.123200353441007e-05,0.8350624763347217,0.06870229007633588
aciky-pt 100mg/325mg/37.5mg tablet,2.123200353441007e-05,0.8350624763347217,0.06870229007633588
acirex 5mg/2.5mg tablet,3.208398501504382e-05,0.8742567192579085,0.07633587786259542
acitram 100mg injection,5.8860647739280435e-06,0.8331696259916888,0.03816793893129771
aclozest ta 100mg/325mg/37.5mg tablet,2.123200353441007e-05,0.8350624763347217,0.06870229007633588
acopram-plus tablet,6.825595443939102e-05,0.9317279256442754,0.08396946564885496
low sexual desire,0.002260299939507945,0.3650956065741511,0.15048632776656268
delayed ejaculation,0.0018301122881475042,0.3606215652833049,0.14534777023307027
anorgasmia (decreased orgasm),0.0018301122881475042,0.3606215652833049,0.14534777023307027
acoprax 0.5mg tablet sr,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
acoprax 1.5mg tablet sr,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
acoprax 1mg tablet sr,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
acronite 150 tablet,1.1175378050859161e-05,0.7991158779621712,0.030534351145038167
insomnia (difficulty in sleeping),0.0009848738783394013,0.31785535326540837,0.020737750045879976
